Customer ID,Gender,DOB,First Name,Last Name,Phone Number,Loyalty Tier,Marketing Segment
"""CID1982111""",Male,1/7/1993,Benjamin,Morton,04425 708 360,Bronze,Occasional
"""CID4604802""",Male,10/15/1987,Emily,Williamson,04249 888 905,Silver,New
"""CID9202816""",Male,1/23/1984,Emily,Velazquez,04731 364 339,Bronze,Occasional
"""CID2610914""",Male,5/6/1979,Ayla,Lee,04699 417 243,Gold,New
"""CID9933542""",Male,8/11/1988,Camila,Marshall,04165 695 774,Silver,New
"""CID4670564""",Male,12/16/1971,Michael,Ballard,04229 562 318,Silver,New
"""CID6800553""",Male,9/14/1976,Emery,Hawkins,04875 427 973,Gold,New
"""CID8610436""",Male,8/2/1984,Hailey,Medina,04193 111 133,Silver,New
"""CID7873618""",Male,2/18/1985,Mason,Baldwin,04452 373 400,Silver,New
"""CID5214275""",Male,11/10/1990,Avery,Cannon,04570 367 869,Silver,New
"""CID6680340""",Male,3/21/1984,Ethan,Marsh,04195 248 567,Bronze,Frequent Rider
"""CID7568143""",Male,2/19/1991,Emery,Fox,04754 400 698,Bronze,Occasional
"""CID5543520""",Male,8/21/1986,Aurora,Williamson,04124 716 802,Bronze,Occasional
"""CID2669710""",Male,2/27/1994,Walker,Tate,04155 218 495,Silver,New
"""CID1789354""",Male,10/19/1994,Bennett,Arias,04691 472 754,Silver,New
"""CID5432215""",Male,8/6/1977,Levi,Harrington,04716 450 393,Silver,New
"""CID2581698""",Male,7/22/1986,Ezekiel,Barrett,04903 709 878,Bronze,Occasional
"""CID8682675""",Male,9/8/2007,Josephine,Contreras,04197 150 478,Bronze,New
"""CID1060329""",Male,1/26/1990,Josiah,Harvey,04991 440 759,Bronze,New
"""CID9046501""",Male,8/11/1985,Kennedy,Rivera,04220 817 585,Gold,New
"""CID4929303""",Male,12/29/1980,Matthew,Higgins,04732 247 419,Bronze,Occasional
"""CID8465004""",Male,9/30/1986,Maya,Henry,04926 635 942,Bronze,New
